Feature,subject_id,Condition_encoded,Fitted,Residuals
counts_CAP-1,614,1,22.172589951809435,1.8274100481905649
counts_CAP-1,615,1,22.8875905959069,-2.8875905959069
counts_CAP-1,616,1,23.74761684556991,-1.7476168455699117
counts_CAP-1,623,1,24.0598281568311,2.9401718431689012
counts_CAP-1,629,1,24.82972512615016,-2.8297251261501586
counts_CAP-1,634,1,25.528961160089104,4.4710388399108965
counts_CAP-1,640,1,22.86769648209406,3.132303517905939
counts_CAP-1,644,1,23.529267185289903,4.470732814710097
counts_CAP-1,645,1,22.901774426279445,-5.901774426279445
counts_CAP-1,646,1,21.718691034558685,-5.7186910345586845
counts_CAP-1,650,1,24.23162735464635,8.76837264535365
counts_CAP-1,651,1,22.65942416553907,2.3405758344609318
counts_CAP-1,653,1,26.86916810821272,9.130831891787281
counts_CAP-1,654,1,22.098227052785074,-4.098227052785074
counts_CAP-1,655,1,23.636712346134104,1.3632876538658962
counts_CAP-1,658,1,21.827287646102633,-5.827287646102633
counts_CAP-1,666,1,24.20677747843831,-4.206777478438308
counts_CAP-1,667,1,24.226162066899466,-0.22616206689946594
counts_CAP-1,670,1,24.56768170594673,1.432318294053271
counts_CAP-1,672,1,22.713427270109523,1.2865727298904766
counts_CAP-1,674,1,23.657537055488323,-4.657537055488323
counts_CAP-1,677,1,24.665499985241638,9.334500014758362
counts_CAP-1,681,1,22.093090005919876,-6.093090005919876
counts_CAP-1,686,1,25.350722996200133,12.649277003799867
counts_CAP-1,689,1,24.434745952369088,2.565254047630912
counts_CAP-1,690,1,25.36798435945616,9.632015640543841
counts_CAP-1,692,1,24.773024713879924,-0.7730247138799236
counts_CAP-1,694,1,22.18507106055964,-5.18507106055964
counts_CAP-1,698,1,24.292609400973927,7.707390599026073
counts_CAP-1,702,1,22.066804931496137,-3.0668049314961365
counts_CAP-1,703,1,23.844813191586688,0.1551868084133119
counts_CAP-1,705,1,22.155826859411967,-2.1558268594119667
counts_CAP-1,706,1,21.82981806404021,-7.829818064040211
counts_CAP-1,709,1,22.48768218451901,-3.4876821845190094
counts_CAP-1,710,1,22.016387528003115,-4.016387528003115
counts_CAP-1,711,1,23.78753880364989,6.212461196350109
counts_CAP-1,714,1,24.575625684581986,13.424374315418014
counts_CAP-1,716,1,23.508310312126632,4.491689687873368
counts_CAP-1,719,1,22.608968543250274,-1.608968543250274
counts_CAP-1,720,1,22.690212443693845,-3.690212443693845
counts_CAP-1,724,1,21.541010221804118,-0.5410102218041182
counts_CAP-1,727,1,23.055757456862732,-3.0557574568627324
counts_CAP-1,728,1,22.372565372397567,4.627434627602433
counts_CAP-1,729,1,22.513963890592667,-3.5139638905926667
counts_CAP-1,733,1,21.813000179959836,-6.813000179959836
counts_CAP-1,735,1,22.652694300031893,-2.652694300031893
counts_CAP-1,740,1,25.908781721080146,4.091218278919854
counts_CAP-1,741,1,24.475442457496186,12.524557542503814
counts_CAP-1,743,1,25.84412984157622,-2.844129841576219
counts_CAP-1,744,1,23.946377934400108,3.0536220655998925
counts_CAP-1,748,1,22.742506734403285,-1.7425067344032854
counts_CAP-1,750,1,23.40238901956477,3.597610980435231
counts_CAP-1,751,1,23.988465968267857,6.011534031732143
counts_CAP-1,752,1,22.91207582862919,2.0879241713708083
counts_CAP-1,753,1,22.500879945282026,2.4991200547179737
counts_CAP-1,756,1,24.066722197710174,-6.066722197710174
counts_CAP-1,757,1,23.445461462433283,-1.4454614624332827
counts_CAP-1,758,1,23.84490801055271,1.155091989447289
counts_CAP-1,761,1,23.061018690512515,2.9389813094874846
counts_CAP-1,762,1,23.76659396988066,2.2334060301193404
counts_CAP-1,763,1,24.44989049591105,8.550109504088951
counts_CAP-1,764,1,22.469877773969372,-3.4698777739693725
counts_CAP-1,768,1,23.605406399786034,-2.605406399786034
counts_CAP-1,769,1,23.133307730310722,-0.1333077303107224
counts_CAP-1,771,1,24.231529552403376,-4.2315295524033765
counts_CAP-1,772,1,22.481808441850994,-3.481808441850994
counts_CAP-1,773,1,23.25840787511651,8.74159212488349
counts_CAP-1,774,1,22.57971782109575,11.420282178904252
counts_CAP-1,775,1,25.333083223200024,1.666916776799976
counts_CAP-1,776,1,21.03399851543378,-6.03399851543378
counts_CAP-1,777,1,22.848150259020848,-1.8481502590208478
counts_CAP-1,778,1,23.721559555396055,0.27844044460394457
counts_CAP-1,779,1,23.403640793953503,-5.403640793953503
counts_CAP-1,780,1,21.511560031040545,-2.5115600310405455
counts_CAP-1,785,1,22.745303924563487,-3.745303924563487
counts_CAP-1,786,1,23.063764662100272,-2.0637646621002723
counts_CAP-1,789,1,23.675792728922776,3.324207271077224
counts_CAP-1,794,1,23.332419616044806,6.667580383955194
counts_CAP-1,797,1,22.356274966534166,-2.3562749665341656
counts_CAP-1,800,1,21.5269067284416,3.473093271558401
counts_CAP-1,803,1,22.753324269935376,4.246675730064624
counts_CAP-1,815,1,23.078979664521402,-4.078979664521402
counts_CAP-1,820,1,21.86916570276252,0.13083429723748097
counts_CAP-1,821,1,22.87993472006613,-8.879934720066132
counts_CAP-1,825,1,22.335034665533634,-5.335034665533634
counts_CAP-1,826,1,22.61902950116589,-8.61902950116589
counts_CAP-1,827,1,24.01898204229965,7.981017957700349
counts_CAP-1,833,1,24.74514403699909,0.2548559630009102
counts_CAP-1,834,1,23.96344569657616,1.0365543034238414
counts_CAP-1,835,1,23.970951327251687,1.0290486727483135
counts_CAP-1,836,1,25.620430978746754,3.3795690212532463
counts_CAP-1,842,1,23.72542715369741,5.27457284630259
counts_CAP-1,848,1,23.68997931375565,2.31002068624435
counts_CAP-1,849,1,22.118515780786748,-2.1185157807867476
counts_CAP-1,855,1,22.917982120680943,2.082017879319057
counts_CAP-1,858,1,21.250050082045025,-8.250050082045025
counts_CAP-1,864,1,24.52447897917268,5.475521020827319
counts_CAP-1,865,1,22.9347386436914,2.0652613563086
counts_CAP-1,868,1,23.601751141897925,3.3982488581020753
counts_CAP-1,876,1,24.04717876739402,-5.047178767394019
counts_CAP-1,877,1,23.477128845602895,10.522871154397105
counts_CAP-1,880,1,23.16545131531684,0.8345486846831598
counts_CAP-1,883,1,22.948588451722742,-6.948588451722742
counts_CAP-1,885,1,21.400402794169707,-3.4004027941697075
counts_CAP-1,894,1,24.487033833221254,1.512966166778746
counts_CAP-1,895,1,23.04399950138569,-2.0439995013856915
counts_CAP-1,896,1,23.351941231727174,2.6480587682728256
counts_CAP-1,899,1,24.706518814249304,9.293481185750696
