Feature,feature_base,Gender_Cohort,N_subcohort,beta_interaction,p_interaction,beta_off_on_nonres,p_off_on_nonres,beta_off_on_res,p_off_on_res,beta_group_on,p_group_on,beta_group_off,p_group_off,Metric_Group,p_interaction_FDR,p_off_on_nonres_FDR,p_off_on_res_FDR,p_group_on_FDR,p_group_off_FDR
transition_probability_1.7,transition_probability_1.7,Gender_2,202,0.009858401059373878,0.38902291256337407,-0.013440402130193277,0.1561755999418062,-0.0035820010708193985,0.576279144965701,-0.004900377495909259,0.5505155070886445,0.004958023563464619,0.5428576093057806,transition_probability,0.9024237268339428,0.4782877748217815,0.6566901884492872,0.8867130828716255,0.8580652534188146
transition_probability_2.1,transition_probability_2.1,Gender_1,234,-0.006434620434494437,0.5098228597345057,0.0045225438996101585,0.5371503366186019,-0.0019120765348842788,0.7676690724792332,0.011109868639996414,0.11823708517577813,0.0046752482055019765,0.5092692460637904,transition_probability,0.9639577362162925,0.9469941923168453,0.8747856872437774,0.9957643145230644,0.8486450984577911
transition_probability_2.1,transition_probability_2.1,Gender_2,202,0.001046330873164641,0.9101179431649052,-0.0015952586681533595,0.835410575335509,-0.0005489277949887186,0.9157222627435888,0.003320079956751737,0.6333664877654468,0.004366410829916378,0.527255154168786,transition_probability,0.96652567290182,0.9303435952599987,0.9347998098840803,0.8867130828716255,0.8580652534188146
transition_probability_2.2,transition_probability_2.2,Gender_1,234,-0.009052993360887334,0.6492268054191597,0.0001921442623866815,0.9897398746542045,-0.008860849098500653,0.5017447735321452,-0.004630684580737963,0.7436589094898127,-0.013683677941625297,0.3320887016308962,transition_probability,0.9639577362162925,0.9932419490099309,0.8747856872437774,0.9957643145230644,0.8486450984577911
transition_probability_2.2,transition_probability_2.2,Gender_2,202,-0.019091615734963527,0.3693539146537511,0.009551630621043243,0.5879405507619677,-0.009539985113920284,0.4221113681755291,0.004059290903873064,0.8169502202138148,-0.015032324831090463,0.3874770870168991,transition_probability,0.9024237268339428,0.8751697491342323,0.6137739644084695,0.9763551412311444,0.7674386137169169
transition_probability_2.3,transition_probability_2.3,Gender_1,234,0.010041101714326279,0.14881475596340568,-0.005026283202205797,0.33568959138295673,0.005014818512120482,0.2767062351387688,-0.005226795468407084,0.2990013186281326,0.004814306245919195,0.33692258258125873,transition_probability,0.8849845048814684,0.9138216654313822,0.8747856872437774,0.9957643145230644,0.8486450984577911
transition_probability_2.3,transition_probability_2.3,Gender_2,202,-0.003448477350604727,0.6686722216558261,0.003218024990135005,0.6296276231328177,-0.0002304523604697217,0.9592759474268702,0.00029555074939708866,0.9592126234313054,-0.0031529266012076383,0.5826075713561947,transition_probability,0.9146402367862766,0.8751697491342323,0.9592759474268702,0.9897477032262825,0.8605812733238792
transition_probability_2.4,transition_probability_2.4,Gender_1,234,0.008301761526392283,0.27911639573352187,-0.0031183389387759645,0.5880995828202744,0.0051834225876163185,0.3081792202558118,-0.006314041756154729,0.26957654928460606,0.001987719770237554,0.7271398014221917,transition_probability,0.8849845048814684,0.9921543398406043,0.8747856872437774,0.9957643145230644,0.8936167655242496
transition_probability_2.4,transition_probability_2.4,Gender_2,202,-0.0013103970410510944,0.8894240460054231,0.013212266717330378,0.09093834903124898,0.011901869676279283,0.023673349163688462,0.004003578204323371,0.6291823259100489,0.002693181163272277,0.743275728420594,transition_probability,0.96652567290182,0.4185509658709458,0.11599941090207345,0.8867130828716255,0.9105127673152276
transition_probability_2.5,transition_probability_2.5,Gender_1,234,-0.009765584922684065,0.36102641039651584,0.014465218631946726,0.07144119571243412,0.004699633709262661,0.507804126055748,0.00016194945470438806,0.9847801119868236,-0.009603635467979677,0.25595357946277897,transition_probability,0.8849845048814684,0.41136841158078985,0.8747856872437774,0.9957643145230644,0.8486450984577911
transition_probability_2.5,transition_probability_2.5,Gender_2,202,-0.0005443504738408727,0.96652567290182,0.020752044772963423,0.05351853228980663,0.02020769429912255,0.005340519039595204,0.0073712065206865,0.4701853297557632,0.006826856046845627,0.5001871152684731,transition_probability,0.96652567290182,0.350857560564381,0.06670906852269615,0.8867130828716255,0.8451437464881099
transition_probability_2.6,transition_probability_2.6,Gender_1,234,0.0018822124931653806,0.8517210913946922,0.0006859201679919662,0.9276880444494053,0.0025681326611573466,0.70068135386646,0.0036633327031779152,0.6350144580142372,0.005545545196343296,0.4705566607568905,transition_probability,0.9639577362162925,0.9921543398406043,0.8747856872437774,0.9957643145230644,0.8486450984577911
transition_probability_2.6,transition_probability_2.6,Gender_2,202,0.01694487786216325,0.11922372683365628,-0.025280485840347408,0.005008277402130279,-0.008335607978184157,0.1710457135360759,-0.008505343134605556,0.285787951052515,0.008439534727557695,0.285924909794971,transition_probability,0.7595305118000569,0.15939936955616596,0.36440173753337907,0.8867130828716255,0.7674386137169169
